n_estimators,early_stopping_rounds,n_jobs,eval_metric,random_state,colsample_bytree,learning_rate,max_depth,min_child_weight,subsample,val_accuracy,val_auc,best_iteration,best_score
1200,50,-1,logloss,42,0.7,0.01,4,1,0.6,0.7147222222222223,0.7926939364785708,1199,0.5566957856225134
1200,50,-1,logloss,42,0.7,0.01,4,1,0.8,0.7088888888888889,0.7843764627132396,1199,0.5616985831762172
1200,50,-1,logloss,42,0.7,0.01,4,5,0.6,0.7091666666666666,0.7882943729305889,1199,0.5609608092556139
1200,50,-1,logloss,42,0.7,0.01,4,5,0.8,0.7036111111111111,0.781413368473443,1199,0.5665061474810096
1200,50,-1,logloss,42,0.7,0.01,6,1,0.6,0.7533333333333333,0.8370254942812929,1199,0.5008678090599521
1200,50,-1,logloss,42,0.7,0.01,6,1,0.8,0.745,0.8319147201902901,1199,0.5057859341264056
1200,50,-1,logloss,42,0.7,0.01,6,5,0.6,0.7511111111111111,0.8300109545257506,1199,0.5103883649777465
1200,50,-1,logloss,42,0.7,0.01,6,5,0.8,0.7472222222222222,0.8283105021421223,1199,0.5125415892477354
1200,50,-1,logloss,42,0.7,0.01,8,1,0.6,0.7588888888888888,0.8481171059797877,1199,0.4747624533768976
1200,50,-1,logloss,42,0.7,0.01,8,1,0.8,0.7597222222222222,0.8480076533479229,1198,0.4760905817692401
1200,50,-1,logloss,42,0.7,0.01,8,5,0.6,0.7533333333333333,0.8425235979256797,1199,0.48551874730192746
1200,50,-1,logloss,42,0.7,0.01,8,5,0.8,0.7530555555555556,0.8402652304340684,1198,0.48836925656780494
1200,50,-1,logloss,42,0.7,0.01,12,1,0.6,0.7666666666666667,0.8558507294577942,1198,0.4604101695784549
1200,50,-1,logloss,42,0.7,0.01,12,1,0.8,0.7688888888888888,0.8570573328014562,1196,0.4601847237685514
1200,50,-1,logloss,42,0.7,0.01,12,5,0.6,0.7583333333333333,0.8498238877821841,1199,0.47011374287048563
1200,50,-1,logloss,42,0.7,0.01,12,5,0.8,0.7591666666666667,0.8486253119940325,1198,0.4708851979310081
1200,50,-1,logloss,42,0.7,0.02,4,1,0.6,0.7405555555555555,0.8204115418958122,1199,0.5177308801187771
1200,50,-1,logloss,42,0.7,0.02,4,1,0.8,0.7363888888888889,0.8150475910540922,1198,0.5218935618088856
1200,50,-1,logloss,42,0.7,0.02,4,5,0.6,0.7366666666666667,0.8215946800772128,1199,0.5182207709728229
1200,50,-1,logloss,42,0.7,0.02,4,5,0.8,0.7344444444444445,0.8115089828346163,1197,0.5275511446485406
1200,50,-1,logloss,42,0.7,0.02,6,1,0.6,0.7602777777777778,0.8469595942255941,1196,0.4730617245152664
1200,50,-1,logloss,42,0.7,0.02,6,1,0.8,0.7544444444444445,0.8434549487409705,1198,0.47679779838980824
1200,50,-1,logloss,42,0.7,0.02,6,5,0.6,0.7488888888888889,0.8411013312157052,1199,0.48227010642437057
1200,50,-1,logloss,42,0.7,0.02,6,5,0.8,0.7480555555555556,0.8386344016568874,1199,0.4845330395190265
1200,50,-1,logloss,42,0.7,0.02,8,1,0.6,0.7658333333333334,0.8526162420913141,1008,0.4639179218239345
1200,50,-1,logloss,42,0.7,0.02,8,1,0.8,0.7616666666666667,0.8525023125534914,1022,0.4636741181600519
1200,50,-1,logloss,42,0.7,0.02,8,5,0.6,0.7625,0.8486818136347413,1199,0.4703146289515361
1200,50,-1,logloss,42,0.7,0.02,8,5,0.8,0.7580555555555556,0.8449841980657296,1184,0.4749760723311758
1200,50,-1,logloss,42,0.7,0.02,12,1,0.6,0.7630555555555556,0.8575050233972368,623,0.45992945443816197
1200,50,-1,logloss,42,0.7,0.02,12,1,0.8,0.7669444444444444,0.8558603007739799,583,0.4612521522759602
1200,50,-1,logloss,42,0.7,0.02,12,5,0.6,0.77,0.8545366803711447,797,0.4624128217025362
1200,50,-1,logloss,42,0.7,0.02,12,5,0.8,0.7638888888888888,0.8473585019840413,640,0.47203831166200366
1200,50,-1,logloss,42,0.7,0.05,4,1,0.6,0.7472222222222222,0.8310394078875054,799,0.49700240213798275
1200,50,-1,logloss,42,0.7,0.05,4,1,0.8,0.7547222222222222,0.8335044849335133,1198,0.48974733596588826
1200,50,-1,logloss,42,0.7,0.05,4,5,0.6,0.7491666666666666,0.8327542172454123,1165,0.4903437017192684
1200,50,-1,logloss,42,0.7,0.05,4,5,0.8,0.7469444444444444,0.8257548063444857,1187,0.497482344056706
1200,50,-1,logloss,42,0.7,0.05,6,1,0.6,0.7569444444444444,0.8436633564321097,518,0.47543842653705115
1200,50,-1,logloss,42,0.7,0.05,6,1,0.8,0.7588888888888888,0.8406198322611401,620,0.47984126197279287
1200,50,-1,logloss,42,0.7,0.05,6,5,0.6,0.7588888888888888,0.8444377067867425,661,0.4756172577425686
1200,50,-1,logloss,42,0.7,0.05,6,5,0.8,0.75,0.8409494251652749,619,0.4813547708824303
1200,50,-1,logloss,42,0.7,0.05,8,1,0.6,0.7575,0.8497568885688845,392,0.4676959111915009
1200,50,-1,logloss,42,0.7,0.05,8,1,0.8,0.7580555555555556,0.851732284728749,444,0.4667969792768741
1200,50,-1,logloss,42,0.7,0.05,8,5,0.6,0.7486111111111111,0.8419967124072663,346,0.47953599431919025
1200,50,-1,logloss,42,0.7,0.05,8,5,0.8,0.7580555555555556,0.8456276375151135,492,0.47428789832043955
1200,50,-1,logloss,42,0.7,0.05,12,1,0.6,0.7638888888888888,0.8527493142615082,198,0.464987862999648
1200,50,-1,logloss,42,0.7,0.05,12,1,0.8,0.7583333333333333,0.8476508902559061,227,0.4719435783795133
1200,50,-1,logloss,42,0.7,0.05,12,5,0.6,0.7633333333333333,0.8483520663545389,335,0.47198426886245015
1200,50,-1,logloss,42,0.7,0.05,12,5,0.8,0.7538888888888889,0.8428743403510637,333,0.4783206055095151
1200,50,-1,logloss,42,1.0,0.01,4,1,0.6,0.7161111111111111,0.7953126177117515,1199,0.5540745301580238
1200,50,-1,logloss,42,1.0,0.01,4,1,0.8,0.7069444444444445,0.7863097142066736,1199,0.5613064653445164
1200,50,-1,logloss,42,1.0,0.01,4,5,0.6,0.7161111111111111,0.7914851718699635,1199,0.5588517810404301
1200,50,-1,logloss,42,1.0,0.01,4,5,0.8,0.7075,0.7831411454210206,1199,0.5654501540132979
1200,50,-1,logloss,42,1.0,0.01,6,1,0.6,0.7422222222222222,0.8348240915585932,1199,0.5008648699463164
1200,50,-1,logloss,42,1.0,0.01,6,1,0.8,0.7488888888888889,0.8316995199521805,1199,0.5063576043851208
1200,50,-1,logloss,42,1.0,0.01,6,5,0.6,0.7405555555555555,0.8287083292680968,1199,0.5107864940150951
1200,50,-1,logloss,42,1.0,0.01,6,5,0.8,0.7411111111111112,0.8245994558552373,1199,0.515515839878418
1200,50,-1,logloss,42,1.0,0.01,8,1,0.6,0.7580555555555556,0.8460750193587588,1199,0.4770436119323131
1200,50,-1,logloss,42,1.0,0.01,8,1,0.8,0.7572222222222222,0.8442527642578648,1199,0.4809950026789577
1200,50,-1,logloss,42,1.0,0.01,8,5,0.6,0.7519444444444444,0.8410022217803637,1199,0.4881547745480202
1200,50,-1,logloss,42,1.0,0.01,8,5,0.8,0.7511111111111111,0.8381598496253602,1199,0.49120384451493415
1200,50,-1,logloss,42,1.0,0.01,12,1,0.6,0.7697222222222222,0.8545201621319211,1196,0.4647151529330424
1200,50,-1,logloss,42,1.0,0.01,12,1,0.8,0.7672222222222222,0.8508653087336099,1118,0.46994416449054066
1200,50,-1,logloss,42,1.0,0.01,12,5,0.6,0.76,0.8462581093748263,1199,0.47576765417179556
1200,50,-1,logloss,42,1.0,0.01,12,5,0.8,0.7572222222222222,0.8428484051717217,1196,0.47908812554633995
1200,50,-1,logloss,42,1.0,0.02,4,1,0.6,0.7391666666666666,0.8207977908167235,1193,0.5147227370823223
1200,50,-1,logloss,42,1.0,0.02,4,1,0.8,0.7355555555555555,0.816889760667695,1199,0.5189179734004574
1200,50,-1,logloss,42,1.0,0.02,4,5,0.6,0.7375,0.8183694552747831,1196,0.5189062021059928
1200,50,-1,logloss,42,1.0,0.02,4,5,0.8,0.7352777777777778,0.8117927260467007,1197,0.5265683695186615
1200,50,-1,logloss,42,1.0,0.02,6,1,0.6,0.7583333333333333,0.846180921341071,1192,0.4732473835910787
1200,50,-1,logloss,42,1.0,0.02,6,1,0.8,0.7597222222222222,0.8427003585229792,1194,0.477824088287889
1200,50,-1,logloss,42,1.0,0.02,6,5,0.6,0.7536111111111111,0.8397110203517058,1199,0.4838016092686545
1200,50,-1,logloss,42,1.0,0.02,6,5,0.8,0.7536111111111111,0.8383071243937651,1197,0.4867835110431608
1200,50,-1,logloss,42,1.0,0.02,8,1,0.6,0.7638888888888888,0.8520194242143184,917,0.46588158871842705
1200,50,-1,logloss,42,1.0,0.02,8,1,0.8,0.7583333333333333,0.848824148368986,877,0.4701943205378646
1200,50,-1,logloss,42,1.0,0.02,8,5,0.6,0.7613888888888889,0.847018874635518,1180,0.47387818643880664
1200,50,-1,logloss,42,1.0,0.02,8,5,0.8,0.7575,0.84447630080362,1187,0.47606928028367596
1200,50,-1,logloss,42,1.0,0.02,12,1,0.6,0.7644444444444445,0.8507748443580488,583,0.4701433824941503
1200,50,-1,logloss,42,1.0,0.02,12,1,0.8,0.7613888888888889,0.8494367126048679,622,0.4731649258535051
1200,50,-1,logloss,42,1.0,0.02,12,5,0.6,0.7544444444444445,0.8463621588443283,635,0.47487994075474693
1200,50,-1,logloss,42,1.0,0.02,12,5,0.8,0.7613888888888889,0.8438785566702194,781,0.47891324990331974
1200,50,-1,logloss,42,1.0,0.05,4,1,0.6,0.7425,0.8275597713258187,804,0.4963821202787787
1200,50,-1,logloss,42,1.0,0.05,4,1,0.8,0.7480555555555556,0.8349590162415972,1011,0.487767852180158
1200,50,-1,logloss,42,1.0,0.05,4,5,0.6,0.7452777777777778,0.8286944354220209,1078,0.4956285260939977
1200,50,-1,logloss,42,1.0,0.05,4,5,0.8,0.7516666666666667,0.8336032856167199,1197,0.49000970849821895
1200,50,-1,logloss,42,1.0,0.05,6,1,0.6,0.7569444444444444,0.8409299737807687,492,0.4789958467104023
1200,50,-1,logloss,42,1.0,0.05,6,1,0.8,0.76,0.8402028625027942,616,0.4813017284952366
1200,50,-1,logloss,42,1.0,0.05,6,5,0.6,0.7458333333333333,0.8366948207446855,565,0.4841442253880086
1200,50,-1,logloss,42,1.0,0.05,6,5,0.8,0.7572222222222222,0.8388073028524993,747,0.4840274070477729
1200,50,-1,logloss,42,1.0,0.05,8,1,0.6,0.7552777777777778,0.8465088161084633,351,0.474220128309761
1200,50,-1,logloss,42,1.0,0.05,8,1,0.8,0.7575,0.8425394986606332,332,0.4784802289570669
1200,50,-1,logloss,42,1.0,0.05,8,5,0.6,0.7525,0.8380480813524825,411,0.4839480041606213
1200,50,-1,logloss,42,1.0,0.05,8,5,0.8,0.7583333333333333,0.8386257565971068,492,0.4849696208003378
1200,50,-1,logloss,42,1.0,0.05,12,1,0.6,0.7569444444444444,0.8486642147630452,226,0.47439776799120914
1200,50,-1,logloss,42,1.0,0.05,12,1,0.8,0.7597222222222222,0.8471394423442439,209,0.47521322956531853
1200,50,-1,logloss,42,1.0,0.05,12,5,0.6,0.7569444444444444,0.839363365447672,267,0.48384542416115034
1200,50,-1,logloss,42,1.0,0.05,12,5,0.8,0.7588888888888888,0.8418982204761947,283,0.4819599045915109
1500,50,-1,logloss,42,0.6,0.01,8,1,0.6,0.8258333333333333,0.9077636959359575,1495,0.38467252034244465
1500,50,-1,logloss,42,0.6,0.01,8,1,0.8,0.8230555555555555,0.905128496463553,1496,0.3908964983377276
1500,50,-1,logloss,42,0.6,0.01,8,2,0.6,0.8244444444444444,0.9058092949212744,1499,0.389042128995837
1000,40,-1,logloss,42,0.6,0.01,6,1,0.6,0.8086111111111111,0.892152570485025,997,0.42365932404412887
1000,40,-1,logloss,42,0.6,0.01,6,1,0.8,0.8080555555555555,0.8902877075894979,999,0.42617181960984857
1000,40,-1,logloss,42,0.6,0.01,6,2,0.6,0.8119444444444445,0.8908839079622236,999,0.42590928684713114
1000,40,-1,logloss,42,0.6,0.01,6,2,0.8,0.8077777777777778,0.8891962687921987,999,0.4288351258312145
1000,40,-1,logloss,42,0.6,0.01,8,1,0.6,0.8188888888888889,0.9016118096456638,999,0.4007504225700783
1000,40,-1,logloss,42,0.6,0.01,8,1,0.8,0.8113888888888889,0.899661731160871,998,0.40429055410890014
1000,40,-1,logloss,42,0.6,0.01,8,2,0.6,0.8161111111111111,0.8999173779286683,999,0.40419130233000033
1000,40,-1,logloss,42,0.6,0.01,8,2,0.8,0.8102777777777778,0.8980707314091078,998,0.40781310843151813
1000,40,-1,logloss,42,0.6,0.01,10,1,0.6,0.8225,0.9048824210119414,998,0.39098537842067244
1000,40,-1,logloss,42,0.6,0.01,10,1,0.8,0.8127777777777778,0.9011576352550479,999,0.39876522458905433
1000,40,-1,logloss,42,0.6,0.01,10,2,0.6,0.8208333333333333,0.9039226650002286,998,0.39358730791763974
1000,40,-1,logloss,42,0.6,0.01,10,2,0.8,0.8136111111111111,0.9000001235008541,999,0.4007116511286262
1000,40,-1,logloss,42,0.6,0.02,6,1,0.6,0.8291666666666667,0.9060998306803291,997,0.3896814797071986
1000,40,-1,logloss,42,0.6,0.02,6,1,0.8,0.8233333333333334,0.902629147930558,993,0.39661368738442737
1000,40,-1,logloss,42,0.6,0.02,6,2,0.6,0.8244444444444444,0.9038910179063888,999,0.393686370028558
1000,40,-1,logloss,42,0.6,0.02,6,2,0.8,0.8202777777777778,0.90199836731871,994,0.39843063965378356
1000,40,-1,logloss,42,0.6,0.02,8,1,0.6,0.8255555555555556,0.9085167423932735,876,0.38299351638184614
1000,40,-1,logloss,42,0.6,0.02,8,1,0.8,0.8219444444444445,0.9051581366685151,953,0.39196055354922366
1000,40,-1,logloss,42,0.6,0.02,8,2,0.6,0.8213888888888888,0.905920445689882,876,0.38852746341721894
1000,40,-1,logloss,42,0.6,0.02,8,2,0.8,0.8219444444444445,0.904979677934473,944,0.3911060701567557
1000,40,-1,logloss,42,0.6,0.02,10,1,0.6,0.8227777777777778,0.9083808914538644,685,0.38449488588937025
1000,40,-1,logloss,42,0.6,0.02,10,1,0.8,0.8169444444444445,0.9017269741920265,593,0.3982831370616623
1000,40,-1,logloss,42,0.6,0.02,10,2,0.6,0.825,0.9074537087923963,786,0.3861570169972967
1000,40,-1,logloss,42,0.6,0.02,10,2,0.8,0.8205555555555556,0.902921844954558,683,0.39653599486663654
1000,40,-1,logloss,42,0.6,0.03,6,1,0.6,0.8269444444444445,0.907010031974371,778,0.3858941071340491
1000,40,-1,logloss,42,0.6,0.03,6,1,0.8,0.8222222222222222,0.9050540871990129,997,0.3903937342680527
1000,40,-1,logloss,42,0.6,0.03,6,2,0.6,0.8205555555555556,0.9034723500113002,921,0.3919030174961275
1000,40,-1,logloss,42,0.6,0.03,6,2,0.8,0.82,0.9036208597882454,957,0.39329968049818287
1000,40,-1,logloss,42,0.6,0.03,8,1,0.6,0.8266666666666667,0.9086788372641597,574,0.38364028887205576
1000,40,-1,logloss,42,0.6,0.03,8,1,0.8,0.8208333333333333,0.9059013030575108,683,0.3913418202735354
1000,40,-1,logloss,42,0.6,0.03,8,2,0.6,0.8263888888888888,0.9054270597781184,660,0.3909896456405113
1000,40,-1,logloss,42,0.6,0.03,8,2,0.8,0.8208333333333333,0.9048009104482958,549,0.39131954990696005
1000,40,-1,logloss,42,0.6,0.03,10,1,0.6,0.8258333333333333,0.9080767706008688,468,0.385772229132886
1000,40,-1,logloss,42,0.6,0.03,10,1,0.8,0.8166666666666667,0.9001226980984572,345,0.40024590210924443
